epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,269.869,0.46713,0.29022,0.00167,0.98365,0.93196,0.98885,0.90542,0.43308,0.25798,0.00264,0.0002972,0.0002972,0.0002972
88,272.798,0.44785,0.27446,0.00159,0.97554,0.93363,0.9884,0.90159,0.43819,0.25955,0.0027,0.0002774,0.0002774,0.0002774
89,275.943,0.47815,0.29973,0.00166,0.97735,0.93584,0.98828,0.90435,0.43321,0.26222,0.00267,0.0002576,0.0002576,0.0002576
90,278.679,0.46381,0.28307,0.0016,0.98249,0.93363,0.98826,0.90667,0.43204,0.26,0.00263,0.0002378,0.0002378,0.0002378
91,287.399,0.4078,0.25863,0.00178,0.98845,0.92478,0.9885,0.90471,0.4341,0.26558,0.00268,0.000218,0.000218,0.000218
92,290.062,0.38883,0.23491,0.00176,0.98373,0.93653,0.98839,0.89939,0.44931,0.27627,0.00279,0.0001982,0.0001982,0.0001982
93,292.748,0.4125,0.25813,0.00178,0.97923,0.94248,0.98848,0.90423,0.43786,0.27017,0.0027,0.0001784,0.0001784,0.0001784
94,295.436,0.39795,0.23897,0.00175,0.97683,0.94912,0.9884,0.90743,0.44,0.26879,0.00268,0.0001586,0.0001586,0.0001586
95,298.087,0.39241,0.24648,0.0017,0.97285,0.95141,0.98865,0.90265,0.44496,0.27652,0.00272,0.0001388,0.0001388,0.0001388
96,300.725,0.38656,0.24539,0.00161,0.98371,0.93533,0.98881,0.90039,0.45177,0.27075,0.00274,0.000119,0.000119,0.000119
97,303.397,0.37647,0.22729,0.00171,0.98164,0.94615,0.98908,0.90579,0.4423,0.2699,0.00268,9.92e-05,9.92e-05,9.92e-05
98,306.046,0.38631,0.23565,0.00162,0.98602,0.93631,0.9892,0.90681,0.43792,0.26946,0.00265,7.94e-05,7.94e-05,7.94e-05
99,308.654,0.37629,0.24555,0.00161,0.97271,0.94613,0.98887,0.90768,0.43846,0.26755,0.00264,5.96e-05,5.96e-05,5.96e-05
100,311.404,0.36364,0.21557,0.00169,0.97958,0.94248,0.98845,0.90796,0.43881,0.269,0.00265,3.98e-05,3.98e-05,3.98e-05
